Timestamp,First Sentence الجملة الأولى,Second Sentence (same meaning but different wording) الجملة الثانية المختلفة لفظا والمشابهة معنى
9/14/2023 18:01:30,التحقت بقسم الحاسوب في الجامعة الملكية الجميلة جدا,درست علوم الكمبيوتر في المعهد الجامعي الملكي الجميل
9/14/2023 18:02:24,شاهدتُ قبل قليل مقطعًا على اليوتيوب لإطار ويب يُسهل عمل المدونات.,أنهيتُ للتو مقطعًا شرح إطارًا يجعل إنشاء المدونات على الانترنت مهمة أكثر سهولة.
9/14/2023 18:29:48,من المهم جدًا أن تعتني بنفسك من خلال تناول الطعام الصحي وممارسة الرياضة.,إن ممارسة الرياضة وتناول الطعام بشكل جيد يساعدنا على الاعتناء بأنفسنا وهو أمر مهم للغاية.
9/14/2023 19:03:02,لو كان لي مال لأتصدقن ولأنفقن في سبيل الله، لكن لا مال لي,ليس لي مال غير أني لو كنت من الأثرياء لتصدقت بالكثير
9/14/2023 19:28:42,عندما تشرق الشمس في الشرق في كل صباح، تمتزج أشعتها الدافئة بالسماء الزرقاء، وتنساب بأنسامها في الهواء الصافي. يصحو العالم تحت هذا النور الساطع، حيث يستيقظ الناس من نومهم ويبدأون يومهم بنشاط. الشروق اليومي للشمس هو تذكير جميل بفرصة جديدة للحياة وبداية مغامرة جديدة. إنها لحظة تلهم الأمل والإيمان بأن غدًا سيكون أفضل من اليوم، وتجعلنا نفهم قيمة الوقت واللحظات الثمينة التي نعيشها.,عندما تظهر الفجر والأفق ينبض بألوان الصباح، يعم الإشراق والدفء المكان. يأخذ النور تدريجياً مكانه في السماء، وينبعث الحياة من جديد في كل زاوية من هذا العالم. إن طلوع الشمس هو بداية جديدة ومشرقة، تذكير بأن هناك فرصة لبداية جديدة كل يوم. يمنحنا ذلك الشعور بالأمل والإيمان بأن الأفضل قادم، ويُظهر لنا قيمة اللحظات الثمينة التي تمر بنا
9/14/2023 19:32:38,المطر كان غزيراً اليوم لدرجة أن ملابسي تبللت كلها وقد كنت عائداً لبيتي,اليوم،عند عودتي للمنزل نزل المطر بغزارة حتى ولج الماء جميع ملابسي
9/14/2023 20:25:00,أتعلم العلم النافع الذي ينفعني في ديني و دنيايا فأستفيد و أفيد,تعلم ما ينفعك لحياتك و آخرتك، و زكي هذا العلم بالتعليم
9/14/2023 21:52:57,اليوم شعرت بالنعاس اثناء حضور  المحاضرة في مدرج الجامعة,تثاقلت عيناي بينما كنت استمع لمحاضرة في قاعة الجامعة اليوم
9/14/2023 22:54:53,تأخرنا في الوصول بسبب عطب طرئ في السيارة بينما كنا على الطريق، فاضطررنا الى التوقف قليلا عند الميكانيكي. ,تعطلت السيارة في الطريق فتوقفنا عند الميكانيكي وتأخرنا 
9/15/2023 0:10:13,التزلج على الجليد احد هوايات الكثير من الشباب وهيه المفضلة لدي.,افضل  ممارسة رياضة التزلج على الجليد في اوقات فراغي. 
9/15/2023 0:14:52,استخدمت المنظفات التي اشتريتها بالامس في غسل مائدة الطعام اليوم ,قمت بغسل ادوات الاكل اليوم واستعملت المنظفات التي امتلكتها بالامس 
9/15/2023 1:18:13,سافرت البارحة من باريس إلى القاهرة لزيارة الأهرامات.,انطلقنا البارحة من باريس متجهين إلى القاهرة في رحلة سياحية إلى الأهرامات.
9/15/2023 1:19:29,استغرق بحثي على هاتف ذكي مناسب خمسة أشهر، ولذلك لم أتحمل خسارته بتلك السهولة.,لقد كان من الصعب علي تقبل ضياع هاتفي، لاسيما أنني لم أجده إلا بعد خمسة أشهر.
9/15/2023 8:22:41,حللت البيانات فاستخرجت معلومات هامة يمكن أن يستفيد منها أي شخص,يمكن لأي شخص أن يستفيد من المعلومات التي استخرجتها بعد تحليل البيانات
9/15/2023 8:30:05,ذهبت إلى المدرسة يوم الإثنين على الساعة العاشرة صباحا,في يوم الإثنين على الساعة العاشرة صباحا ذهبت إلى المدرسة
9/15/2023 8:30:11,كان يجب على المسؤولين اتخاذ القرار في أسرع وقت لتفادي هذه الخسائر, لتجنب الخسائر كن من المفروض أن يتحرك المسؤولين بسرعة
9/15/2023 8:32:52,الشذوذ الجنسي ليس حرية اختيار بقدر ما هو إعاقة هرمونية مصطحبة بمشاكل نفسية,الشذوذ الجنسي هو إعاقة هرمونية مصطحبة بمشاكل نفسية ليس حرية اختيار
9/15/2023 8:35:42,لا ينبغي القول بأن لكل الشعوب الحق في تقرير مصيرها لأن بعض الشعوب جاهلة,جهل الشعوب يجعل حقهم في تقرير مصيرهم شيء لا ينبغي فعله
9/15/2023 8:39:07,لكل إنسان الحق في حرية التعبير ولكن لا يحق له المساس بحق الآخرين,للإنسان حدود لحرية التعبير و هي المساس بحرية الآخرين
9/15/2023 8:44:48,للمرأة و الرجل حقوق متساوية و واجبات متكاملة وهو ما يضيف جمالا و توازنا للحياة,حقوق الرجل و المرأة متساوية أما واجباتهم فمتكاملة مما يجعل الحياة جميلة و متوازنة
9/15/2023 8:48:32,الحياة قليلا هي ما يحصل و غالبا ما نقرر بناءً عليه,في أغلب الوقت تكون الحياة هي ما نقرره بناءً على ما يحصل
9/15/2023 8:52:04,لا نرتقي إلى الأهداف التي نرسمها بل ننزل لمستوى نظامنا ,تحقيق الأهداف ليس برسمها بل بإرساء نظام للعيش يعمل على تحقيقها
9/15/2023 10:23:10,ينبغي على متعلم اللغة العربية أن يحرص على الممارسة,يتوجب على دارس اللغة العربية أن يواظب على التدرب والتمرن
9/15/2023 11:25:24,إلتحقت بقسم الحاسوب في الجامعة هذه السنة وكانت معرفتي بالذكاء الإصطناعي شبه منعدمة,درست علوم الكمبيوتر في المعهد الجامعي. وتطورت مهاراتي كثيرا في تعلم الٱلة
9/15/2023 12:51:10,بعض الأشخاص إذا قابلتهم سعدت بالحديث إليهم، مهما مر الوقت.,من الناس من يسرك حديثهم وتأنس بهم، وإن مرت ساعات طويلة.
9/15/2023 22:03:00,‏الحين جالس على جوالي عدة ساعات متواصلة يا رب اسيب واقوم,‏جوالي ياخذ مني الكثير من الوقت أحتاج إلى التخلص من هذه العاده
9/15/2023 22:04:26,‏شرب المياه بكميات كثيرة يساعد على النمو بشكل صحيح,‏ ‏ ‏يلعب الماء دور حيوي في نمو الإنسان بشكل ‏طبيعي
9/15/2023 22:14:56,الحياة جميلة إذا نضرنا لها بعين المتفائل والمُحب وقبيحة اذا اردنا ان نراها كذلك,نحن من يحدد إذا كانت الحياة جميلة ام لا وذلك حسب نضرتنا لها
9/15/2023 23:12:45,ذهبت الى القاهرة صباح اليوم مع والدي و عدنا فى الليل,عدت انا و والدي ليلا بعد ذهابنا الى القاهرة فى الصباح
9/16/2023 11:57:53,"تخرجت من كلية الطب العام الماضي, حيث أصبحت أعمل اليوم كطبيب عام في المستشفى الحكومي","أنهيت دراستي الجامعة قبل سنة واحدة, واليوم أنا دكتور أعالج المرضى في المشفى والعيادة "
9/16/2023 12:16:18,يوم البارحة، سرت من المدرسة الى البيت مشيا على الأقدام، ووصلت مساء.,عدت من مدرستي للمنزل سيرا يوم أمس، لأصل في المساء.
9/16/2023 12:22:37,صحوت على صوتٍ مزعج مصدره نافذة الغرفة ويبدو لي أنه كان صوت عمال يشتغلون في الخارج,استيقضت بسبب إزعاج العمال في الخارج حيث اخترقت أصواتهم نافذتي
9/16/2023 15:32:59,إذا صاحَبتَ عاشقًا فلَيْسَ لك أن تَبدأَهُ كُلَّما لَقِيتَه إلَّا بأحد سؤالين,اذا رافقت شخصا عاشقا فقول فلا تبدأ كلامك الا بسؤالين 
9/17/2023 13:43:41,تعلمت السباحة خلال الصيف الفائت و قد كان الامر ممتعا للغاية ,لكم إستمتعت كثيرا الصيفية السابقة عندما تدربت على السباحة حتى اتقنتها
9/17/2023 14:10:04,سجلت في دورة برمجة لتعلم الذكاء الاصطناعي بلغة البايثون,أتعلم لغة البايثون لتعلم الذكاء الاصطناعي عن طريق التسجيل في دورة
9/17/2023 16:27:36,الصحابة الذين سكنوا العراق كانوا أقل من الذين سكنوا المدينة  فكان الحديث اقل في مدرستهم فكانوا يقدمون القياس,اهل العراق احتاجوا لاعمال القياس لقلة الحديث عندهم 
9/19/2023 5:26:04,درست الكثير من العلوم وقرأت الكثير من الكتب ولم اجد اعظم من كتاب الله القرآن الكريم,طالعت كتب الأدب و قرأت كثيراً في العلوم وما كان شيء اكرم وأجمل من القران اللكريم
9/19/2023 10:12:15, سجلت في الجامعة في كلية المعلوماتية قسم البرمجيات,درست في الجامعة في كلية المعلوماتية ضمن قسم البرمجيات
9/19/2023 17:37:26,من الأفضل أن تستثمر مالك كما ينبغي,اصرف قروشك في المكان المناسب
9/19/2023 17:38:04,الوقت كالسيف إن لم تقطعه قطعك,لا تجعل وقتك ينسل من بين يديك دون فائدة
9/19/2023 17:38:58,الطاهي يشرح اللحمه للزبائن,المعلم يشرح الدرس للطلاب
9/21/2023 10:05:23,ما هو الهدف من الحياة ,ايش هوا الهدف من الحياة
9/21/2023 10:06:14,ضرب أحمد أخاه محمد كفا على وجهه,أحمد خبط أخوه محمد بالكف على وجهو 
9/21/2023 10:07:14,مرحبا بك يا صديقي ,أهلا بك يا صاحبي 
9/21/2023 10:10:44,تحدثت مع صديقي أحمد عن هذه الدنيا الكئيبة ولم أستطع ايجاد أي معنى لهذه الحياة، حقا إنها لمأساة,تكلمت مع صاحبي أحمد بخصوص هذه الحياة التعيسة، لم نجد أية هدف لها، بالطبع إنها لحقيقة محزنة 
